1;1;AB
2;2;AB
3;3;AB
4;4;AB
5;5;AB
6;6;AB
7;7;AB
8;8;AB
9;9;AB
10;10;AB
11;11;AB
12;12;MM
13;13;MM
14;14;MM
15;15;MM
16;16;MM
17;17;MM
18;18;MM
19;19;MM
20;20;AB
21;21;AB
22;22;AB
23;23;MM
24;24;MM
25;25;AB
26;26;AB
