101;216003138;Автогрейдер ДЗ-98 [2132 см 63];107415;
102;326000057;Автогрейдер ДЗ-98 [2881 ср 63];;
103;326002599;Автогрейдер ДЗ-98 [4579 су 63];;
104;326000047;Автогрейдер ДЗ-98 [8363 са 63];;
105;326002286;Автогрейдер ДЗ-98 [8964 су 63];;
106;326003257;Автогрейдер ДЗ-98В [2131 см 63];инв 107889;
107;326003215;Автогрейдер ДЗ-98В [2704 ср 63];инв 107888;
108;326001795;Автогрейдер ДЗ-98В [3105 ак 63];112650;
109;326003089;Автогрейдер ДЗ-98В [4087 ср 63] (Борт№41);Инв № 100010;
110;326001792;Автогрейдер ДЗ-98В [4578 су 63];108887;
111;326001973;Автогрейдер ДЗ-98В [4580 су 63];108861;
112;326002102;Автогрейдер ДЗ-98В [5343 ср 63];инв 108099;
113;326001946;Автогрейдер ДЗ-98В [6573 су 63];109127;
114;326000066;Автокран Камаз-5571 [е 391 еу 51];;
115;326001626;Автокран Камаз-5571 [о 241 см 47];;
116;326001560;Автокран Камаз-5571 [о 249 со 47];;
117;326001587;Автокран Камаз-5571 [о 805 тм 47];;
118;326001618;Автокран Камаз-5571 [х 435 су 163];;
119;216003147;Автокран УРАЛ-457171 [р 003 ах 163];;
120;326003144;Автокран УРАЛ-КС 5573 [а 149 ре 763];;
121;326003155;Автокран УРАЛ-КС 5573 [а 895 тс 763];;
122;326002683;Автокран УРАЛ-КС 55732 [А 297 СХ 763];;
123;326002732;Автокран УРАЛ-КС 55732 [А 310 СХ 763];;
124;326002714;Автокран УРАЛ-КС 55732 [А 958 ТС 763];;
125;326002680;Автокран УРАЛ-КС 55732 [А 987 ТС 763];;
126;326003318;Автокран УРАЛ-КС 55732 [Е 440 ТР 82];Сабетта;
127;326002729;Автокран УРАЛ-КС 55733 [А 287 УН 763];;
128;326002735;Автокран УРАЛ-КС 55733 [А 405 УН 763];;
129;326002350;Автокран УРАЛ-КС 55733 [а 928 рв 763];;
130;326002372;Автокран Урал-45721 [у 667 ту 163];;
